	Opportunity Name	Brand	Search URL	Website
0	樂元素	樂元素	http://www.google.com/search?q=樂元素	
1	白馬窯業(股)	白馬磁磚	http://www.google.com/search?q=白馬磁磚	
2	新禾科技興業(股)	TOSHIBA	http://www.google.com/search?q=TOSHIBA	
3	勝華科技	Otali	http://www.google.com/search?q=Otali	
4	美津濃	美津濃	http://www.google.com/search?q=美津濃	
5	力霸鋁門窗	力霸	http://www.google.com/search?q=力霸	
6	千山淨水	千山淨水	http://www.google.com/search?q=千山淨水	
7	美商默沙東藥廠	納寧錠	http://www.google.com/search?q=納寧錠	
8	美商默沙東藥廠	美商默沙東	http://www.google.com/search?q=美商默沙東	
9	勳風企業	勳風	http://www.google.com/search?q=勳風	
10	勳風企業	冰風	http://www.google.com/search?q=冰風	
11	東禾生物科技(股)	德國百靈	http://www.google.com/search?q=德國百靈	
12	北方全產品	北方	http://www.google.com/search?q=北方	
13	光輝生命醫學	光輝生命	http://www.google.com/search?q=光輝生命	
14	香港商悅動娛樂	暗黑創世神	http://www.google.com/search?q=暗黑創世神	
15	新台茂環球(股)	台茂南崁購物中心	http://www.google.com/search?q=台茂南崁購物中心	
16	五洲製藥	五洲製藥	http://www.google.com/search?q=五洲製藥	
17	芙婷寶Femarelle	芙婷寶	http://www.google.com/search?q=芙婷寶	
18	愛貝克思	愛貝克思	http://www.google.com/search?q=愛貝克思	
19	Dr Organic	Dr Organic	http://www.google.com/search?q=Dr Organic	
20	高平貿易	立止癢	http://www.google.com/search?q=立止癢	
21	廣東製藥(股)	廣東苜藥	http://www.google.com/search?q=廣東苜藥	
22	國農	國農鮮乳	http://www.google.com/search?q=國農鮮乳	
23	國農	國農羊乳	http://www.google.com/search?q=國農羊乳	
24	嘉聯實業(股)	白人牙膏	http://www.google.com/search?q=白人牙膏	
25	卡滋卡滋多口味爆米花	卡滋卡滋	http://www.google.com/search?q=卡滋卡滋	
26	健生中醫	控八控控	http://www.google.com/search?q=控八控控	
27	馬玉山	馬玉山	http://www.google.com/search?q=馬玉山	
28	慶云生前契約	慶云生前契約	http://www.google.com/search?q=慶云生前契約	
29	東水西飲池上泉	東水西飲	http://www.google.com/search?q=東水西飲	
30	天良生物科技	天良	http://www.google.com/search?q=天良	
31	天良生物科技	鐵獅牌	http://www.google.com/search?q=鐵獅牌	https://www.youtube.com/watch?v=JUWEmqg7Amc
32	天良生物科技	荷蘭諾	http://www.google.com/search?q=荷蘭諾	www.gioyell.com.tw/product_norit201.htm
33	天良生物科技	絲丹蔻	http://www.google.com/search?q=絲丹蔻	www.pcstore.com.tw › 居家 › 嬌品百貨生活館 › 絲丹寇
34	天良生物科技	諾得	http://www.google.com/search?q=諾得	fbuon2881.pixnet.net/.../193883244-★【嘉義大林】諾得健康休閒生態...
35	天文台鐘錶公司	天文台	http://www.google.com/search?q=天文台	www.hko.gov.hk/contentc.htm
36	喜多納企業	喜多納	http://www.google.com/search?q=喜多納	www.hitona.com.tw/products.php
37	美納里尼	飛宜得	http://www.google.com/search?q=飛宜得	yeahyeh70.pixnet.net/blog/.../42056962-飛宜得凝膠fayd-看凸疤全紀錄
38	香港商英維達	果蕾	http://www.google.com/search?q=果蕾	www.momoshop.com.tw/
39	雪印	雪印	http://www.google.com/search?q=雪印	www.snowmilk.com.tw/
40	菲姐義大利生活館	菲姐義大利生活館	http://www.google.com/search?q=菲姐義大利生活館	www.italian-lifestore.com.tw/
41	拉瑞亞	One Fresh Cup	http://www.google.com/search?q=One Fresh Cup	onefreshcup.com.tw/
42	雪芙蘭	雪芙蘭	http://www.google.com/search?q=雪芙蘭	www.cellina.tw/
43	元大	元大證券	http://www.google.com/search?q=元大證券	www.yuanta.com.tw/
44	台灣諾華	諾鈣	http://www.google.com/search?q=諾鈣	www.novartis.com.tw/products/products02/OTC3_index.shtml
45	台灣諾華	療黴舒	http://www.google.com/search?q=療黴舒	www.lamisil.com.tw/products.html
46	台灣諾華	歐治	http://www.google.com/search?q=歐治	www.otrivin.com.tw/
47	台灣諾華	克菸貼片	http://www.google.com/search?q=克菸貼片	www.nicotinell.com.tw/
48	景順	景順投信	http://www.google.com/search?q=景順投信	www.invesco.com.tw/
49	晶碩	晶碩光學	http://www.google.com/search?q=晶碩光學	tw.pegavision.com/
50	穆拉德	穆拉德	http://www.google.com/search?q=穆拉德	https://tw.stock.yahoo.com/q/bc?s=4109
51	正揚	正揚通筋	http://www.google.com/search?q=正揚通筋	blog.tkec.com.tw › 網友分享
52	國鼎	國鼎	http://www.google.com/search?q=國鼎	www.goldenbiotech.com.tw/
53	農林	比雅久	http://www.google.com/search?q=比雅久	www.pgo.com.tw/
54	美吾華企業	威透甲	http://www.google.com/search?q=威透甲	bettypool613.pixnet.net/.../108353950-【試用體驗】威透甲「健康筆」...
55	美吾華企業	百賜益	http://www.google.com/search?q=百賜益	www.maywufa.com.tw/pro_cate.php?Menu_id=23&whole=y
56	美吾華企業	博登藥局	http://www.google.com/search?q=博登藥局	www.prohealthcare.com.tw/
57	美吾華企業	慕之恬廊	http://www.google.com/search?q=慕之恬廊	24h.pchome.com.tw › 線上購物 › 24h 購物 › 婦 幼
58	儀大	百事特	http://www.google.com/search?q=百事特	www.bestpals.com.tw/
59	金美克能	加倍	http://www.google.com/search?q=加倍	https://www.mybenefit.com.tw/
60	愛德恩牛仔褲	EDWIN	http://www.google.com/search?q=EDWIN	www.edwin.com.tw/
